ID, Name, Degree
"Venice Marco Polo Airport", VCE, 296
"Budapest Liszt Ferenc International Airport", BUD, 295
"Baita International Airport", HET, 294
"Presidente Juscelino Kubistschek International Airport", BSB, 294
"Ningbo Lishe International Airport", NGB, 294
"Wenzhou Longwan International Airport", WNZ, 293
"Hefei Luogang International Airport", HFE, 293
"San Diego International Airport", SAN, 291
"Malta International Airport", MLA, 291
"Chicago Midway International Airport", MDW, 289
"Chennai International Airport", MAA, 288
"Netaji Subhash Chandra Bose International Airport", CCU, 288
"Zhuhai Jinwan Airport", ZUH, 286
"Portland International Airport", PDX, 284
"Queen Alia International Airport", AMM, 283
"London Luton Airport", LTN, 283
"Noi Bai International Airport", HAN, 278
"Faro Airport", FAO, 271
"Tocumen International Airport", PTY, 269
"Yinchuan", INC, 267
"Nantes Atlantique Airport", NTE, 267
"Larnaca International Airport", LCA, 265
"Auckland International Airport", AKL, 264
"Muscat International Airport", MCT, 263
"Heraklion International Nikos Kazantzakis Airport", HER, 263
"Sharjah International Airport", SHJ, 263
"Francisco de S� Carneiro Airport", OPO, 261
"Gimhae International Airport", PUS, 260
"Don Mueang International Airport", DMK, 260
"Yantai Laishan Airport", YNT, 260
"Fuerteventura Airport", FUE, 259
"Bandaranaike International Colombo Airport", CMB, 259
"Boryspil International Airport", KBP, 257
"Daniel K Inouye International Airport", HNL, 256
"Don Miguel Hidalgo Y Costilla International Airport", GDL, 256
"Rajiv Gandhi International Airport", HYD, 255
"Beijing Daxing International Airport", PKX, 255
"Longjia Airport", CGQ, 253
"Naples International Airport", NAP, 250
"St Louis Lambert International Airport", STL, 247
"Koltsovo Airport", SVX, 245
"Perth International Airport", PER, 243
"Ibiza Airport", IBZ, 241
"Chubu Centrair International Airport", NGO, 239
"Thessaloniki Macedonia International Airport", SKG, 239
"Comodoro Arturo Merino Ben�tez International Airport", SCL, 237
"Valencia Airport", VLC, 236
"EuroAirport Basel-Mulhouse-Freiburg Airport", BSL, 236
"Rio Gale�o � Tom Jobim International Airport", GIG, 235
"Houari Boumediene Airport", ALG, 232
"Riga International Airport", RIX, 231
"Luis Munoz Marin International Airport", SJU, 230
"Berlin-Sch�nefeld Airport", SXF, 229
"Bristol Airport", BRS, 227
"Phuket International Airport", HKT, 226
"Glasgow International Airport", GLA, 226
"Sim�n Bol�var International Airport", CCS, 225
"Mehrabad International Airport", THR, 225
"Ministro Pistarini International Airport", EZE, 222
"Austin Bergstrom International Airport", AUS, 221
"Ted Stevens Anchorage International Airport", ANC, 221
"Menara Airport", RAK, 220
"Raleigh Durham International Airport", RDU, 219
"Bologna Guglielmo Marconi Airport", BLQ, 219
"Toulouse-Blagnac Airport", TLS, 217
"Bahrain International Airport", BAH, 217
"Fukuoka Airport", FUK, 216
"Macau International Airport", MFM, 216
